Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
BR;Brasil;Ambos;2000;946686;541.9;788.73;174695935
BR;Brasil;Ambos;2001;961492;543.2;785.2;177003743
BR;Brasil;Ambos;2002;982807;548.35;783.55;179228254
BR;Brasil;Ambos;2003;1002340;552.63;780.69;181377654
BR;Brasil;Ambos;2004;1024073;558.17;779.86;183469593
BR;Brasil;Ambos;2005;1006827;542.71;745.96;185518369
BR;Brasil;Ambos;2006;1031691;550.13;744.91;187535030
BR;Brasil;Ambos;2007;1047824;553.06;736.9;189458827
BR;Brasil;Ambos;2008;1077007;562.89;736.57;191335196
BR;Brasil;Ambos;2009;1103088;571.03;733.81;193174036
BR;Brasil;Ambos;2010;1136947;583.8;737.84;194749329
BR;Brasil;Ambos;2011;1170498;596.71;739.33;196158610
BR;Brasil;Ambos;2012;1181166;597.54;724.95;197670620
BR;Brasil;Ambos;2013;1210474;607.59;723.14;199226702
BR;Brasil;Ambos;2014;1227039;611.04;712.44;200811131
BR;Brasil;Ambos;2015;1264175;624.58;714.8;202403642
BR;Brasil;Ambos;2016;1309774;642.45;720.53;203871925
BR;Brasil;Ambos;2017;1312663;639.66;702.31;205211557
BR;Brasil;Ambos;2018;1316719;637.55;684.98;206529038
BR;Brasil;Ambos;2019;1349801;649.25;683.24;207900099
BR;Brasil;Ambos;2020;1556824;744.3;769.12;209164889
BR;Brasil;Ambos;2021;1832649;872.26;886.58;210103642
BR;Brasil;Ambos;2022;1544266;732.36;731.25;210862983
BR;Brasil;Ambos;2023;1465610;692.32;676.64;211695158
BR;Brasil;Ambos;2024;1532015;720.66;687.28;212583750
BR;Brasil;Ambos;2025;1507424;706.31;656.64;213421037
BR;Brasil;Homens;2000;552127;644.1;979.72;85720706
BR;Brasil;Homens;2001;561166;646.35;978.8;86821427
BR;Brasil;Homens;2002;571402;650.19;974.38;87882321
BR;Brasil;Homens;2003;582810;655.53;975.56;88907299
BR;Brasil;Homens;2004;593750;660.42;975.42;89905311
BR;Brasil;Homens;2005;582311;640.72;933.35;90883721
BR;Brasil;Homens;2006;593786;646.51;930.58;91844283
BR;Brasil;Homens;2007;602592;649.64;922.28;92758219
BR;Brasil;Homens;2008;619278;661.28;924.64;93648115
BR;Brasil;Homens;2009;631225;667.83;919.3;94518589
BR;Brasil;Homens;2010;649378;681.7;925.93;95258934
BR;Brasil;Homens;2011;665551;693.85;926.79;95921330
BR;Brasil;Homens;2012;670743;694.04;908.3;96643211
BR;Brasil;Homens;2013;686668;705.05;908.14;97392749
BR;Brasil;Homens;2014;693922;706.94;892.94;98158110
BR;Brasil;Homens;2015;709117;716.81;892.5;98927365
BR;Brasil;Homens;2016;736842;739.57;904.08;99630921
BR;Brasil;Homens;2017;734469;732.51;878.04;100267821
BR;Brasil;Homens;2018;733616;727.1;854.99;100895555
BR;Brasil;Homens;2019;745519;734.13;848.91;101551234
BR;Brasil;Homens;2020;874167;855.84;974.49;102140954
BR;Brasil;Homens;2021;1015350;990.09;1106.33;102550853
BR;Brasil;Homens;2022;844920;821.31;908.37;102875114
BR;Brasil;Homens;2023;803200;777.91;840.31;103251553
BR;Brasil;Homens;2024;836659;807.1;852.26;103662286
BR;Brasil;Homens;2025;820773;788.85;813.59;104046624
BR;Brasil;Mulheres;2000;393606;442.38;619.87;88975229
BR;Brasil;Mulheres;2001;399576;443.08;615.1;90182316
BR;Brasil;Mulheres;2002;410737;449.65;616.12;91345933
BR;Brasil;Mulheres;2003;418714;452.81;610.87;92470355
BR;Brasil;Mulheres;2004;429625;459.18;610.22;93564282
BR;Brasil;Mulheres;2005;424064;448.11;583.71;94634648
BR;Brasil;Mulheres;2006;437429;457.13;584.75;95690747
BR;Brasil;Mulheres;2007;444714;459.89;577.31;96700608
BR;Brasil;Mulheres;2008;457269;468.1;575.46;97687081
BR;Brasil;Mulheres;2009;471389;477.81;574.91;98655447
BR;Brasil;Mulheres;2010;487137;489.63;577.15;99490395
BR;Brasil;Mulheres;2011;504415;503.22;579.57;100237280
BR;Brasil;Mulheres;2012;509885;504.7;568.19;101027409
BR;Brasil;Mulheres;2013;523195;513.77;565.54;101833953
BR;Brasil;Mulheres;2014;532362;518.6;557.72;102653021
BR;Brasil;Mulheres;2015;554383;535.76;563.19;103476277
BR;Brasil;Mulheres;2016;572359;549.07;564.4;104241004
BR;Brasil;Mulheres;2017;577573;550.36;552.28;104943736
BR;Brasil;Mulheres;2018;582457;551.39;539.99;105633483
BR;Brasil;Mulheres;2019;603725;567.68;542.6;106348865
BR;Brasil;Mulheres;2020;682027;637.27;597.43;107023935
BR;Brasil;Mulheres;2021;816616;759.27;702.16;107552789
BR;Brasil;Mulheres;2022;698720;647.04;582.05;107987869
BR;Brasil;Mulheres;2023;661884;610.35;537.62;108443605
BR;Brasil;Mulheres;2024;694845;637.93;547.33;108921464
BR;Brasil;Mulheres;2025;686158;627.35;523.63;109374413
AC;Acre;Ambos;2000;2565;436.73;736.05;587326
AC;Acre;Ambos;2001;2494;412.01;733.55;605327
AC;Acre;Ambos;2002;2486;398.69;706.86;623537
AC;Acre;Ambos;2003;2534;394.75;712.69;641931
AC;Acre;Ambos;2004;2676;405.2;736.82;660422
AC;Acre;Ambos;2005;2811;414.03;750.53;678929
AC;Acre;Ambos;2006;2759;395.63;721.69;697370
AC;Acre;Ambos;2007;2799;391.18;705.3;715533
AC;Acre;Ambos;2008;2858;389.58;700.32;733604
AC;Acre;Ambos;2009;2892;385.26;687.27;750670
AC;Acre;Ambos;2010;3009;393.32;699.25;765021
AC;Acre;Ambos;2011;3157;405.59;725.89;778363
AC;Acre;Ambos;2012;3293;415.95;727.27;791681
AC;Acre;Ambos;2013;3318;412.77;707.1;803838
AC;Acre;Ambos;2014;3476;426.23;727.3;815526
AC;Acre;Ambos;2015;3517;425.44;716.83;826677
AC;Acre;Ambos;2016;3763;449.96;737.86;836294
AC;Acre;Ambos;2017;3832;453.76;722.69;844496
AC;Acre;Ambos;2018;4094;480.8;750.94;851504
AC;Acre;Ambos;2019;4098;477.67;736.5;857919
AC;Acre;Ambos;2020;4860;562.72;864.54;863657
AC;Acre;Ambos;2021;5496;632.93;956.32;868346
AC;Acre;Ambos;2022;4159;476.64;709.02;872566
AC;Acre;Ambos;2023;4189;477.88;686.9;876582
AC;Acre;Ambos;2024;4267;484.54;678.14;880631
AC;Acre;Ambos;2025;4172;471.75;641.99;884372
AC;Acre;Homens;2000;1571;530.79;835.51;295975
AC;Acre;Homens;2001;1550;508.39;870.81;304885
AC;Acre;Homens;2002;1595;508.13;854.88;313898
AC;Acre;Homens;2003;1577;488.22;837.85;323013
AC;Acre;Homens;2004;1676;504.53;877.5;332192
AC;Acre;Homens;2005;1739;509.39;897.57;341386
AC;Acre;Homens;2006;1707;486.98;860.67;350528
AC;Acre;Homens;2007;1745;485.37;848.75;359523
AC;Acre;Homens;2008;1801;488.78;852.06;368465
AC;Acre;Homens;2009;1766;468.54;825.7;376915
AC;Acre;Homens;2010;1842;479.67;841.26;384014
AC;Acre;Homens;2011;1955;500.47;885.22;390631
AC;Acre;Homens;2012;2062;519.04;903.21;397269
AC;Acre;Homens;2013;2037;505;857.88;403366
AC;Acre;Homens;2014;2114;516.55;870.54;409257
AC;Acre;Homens;2015;2126;512.45;856.61;414870
AC;Acre;Homens;2016;2357;561.62;907.47;419676
AC;Acre;Homens;2017;2360;556.94;866.2;423745
AC;Acre;Homens;2018;2481;580.73;898.47;427222
AC;Acre;Homens;2019;2533;588.52;911.95;430405
AC;Acre;Homens;2020;3010;694.85;1081.53;433188
AC;Acre;Homens;2021;3214;738.08;1142.57;435452
AC;Acre;Homens;2022;2432;555.79;838.32;437573
AC;Acre;Homens;2023;2434;553.64;806.96;439639
AC;Acre;Homens;2024;2524;571.37;817;441747
AC;Acre;Homens;2025;2511;565.94;792.06;443690
AC;Acre;Mulheres;2000;991;340.14;627.86;291351
AC;Acre;Mulheres;2001;944;314.2;584.9;300442
AC;Acre;Mulheres;2002;889;287.11;548.44;309639
AC;Acre;Mulheres;2003;956;299.76;579.78;318918
AC;Acre;Mulheres;2004;998;304.06;586.45;328230
AC;Acre;Mulheres;2005;1071;317.29;594.52;337543
AC;Acre;Mulheres;2006;1051;303.02;575.5;346842
AC;Acre;Mulheres;2007;1050;294.94;555.21;356010
AC;Acre;Mulheres;2008;1056;289.2;544.17;365139
AC;Acre;Mulheres;2009;1125;301;545.35;373755
AC;Acre;Mulheres;2010;1167;306.29;555.94;381007
AC;Acre;Mulheres;2011;1202;310.01;566.31;387732
AC;Acre;Mulheres;2012;1228;311.35;552.15;394412
AC;Acre;Mulheres;2013;1277;318.87;558.44;400472
AC;Acre;Mulheres;2014;1360;334.75;585.83;406269
AC;Acre;Mulheres;2015;1387;336.81;578.89;411807
AC;Acre;Mulheres;2016;1406;337.48;571.53;416618
AC;Acre;Mulheres;2017;1471;349.61;581.42;420751
AC;Acre;Mulheres;2018;1606;378.52;605.89;424282
AC;Acre;Mulheres;2019;1556;363.96;566.78;427514
AC;Acre;Mulheres;2020;1832;425.58;657.36;430469
AC;Acre;Mulheres;2021;2271;524.61;780.09;432894
AC;Acre;Mulheres;2022;1722;395.87;584.84;434993
AC;Acre;Mulheres;2023;1748;400.05;572.39;436943
AC;Acre;Mulheres;2024;1736;395.55;546.29;438884
AC;Acre;Mulheres;2025;1660;376.69;501.21;440682
AL;Alagoas;Ambos;2000;14337;497.35;760.81;2882661
AL;Alagoas;Ambos;2001;15442;529.09;810.37;2918610
AL;Alagoas;Ambos;2002;15861;537.39;828.06;2951483
AL;Alagoas;Ambos;2003;15245;511.28;783.84;2981741
AL;Alagoas;Ambos;2004;15728;522.54;808.35;3009912
AL;Alagoas;Ambos;2005;15311;504.29;765.86;3036152
AL;Alagoas;Ambos;2006;15422;503.96;752.67;3060167
AL;Alagoas;Ambos;2007;16594;538.59;788.45;3081004
AL;Alagoas;Ambos;2008;16403;529.02;766.85;3100630
AL;Alagoas;Ambos;2009;17056;546.97;784.31;3118274
AL;Alagoas;Ambos;2010;17737;566.38;798.04;3131625
AL;Alagoas;Ambos;2011;18645;593.38;825.57;3142169
AL;Alagoas;Ambos;2012;18376;582.94;801.44;3152317
AL;Alagoas;Ambos;2013;19243;608.44;819.37;3162669
AL;Alagoas;Ambos;2014;19065;600.97;792.94;3172381
AL;Alagoas;Ambos;2015;19756;621.03;816.47;3181178
AL;Alagoas;Ambos;2016;20769;651.49;839.9;3187906
AL;Alagoas;Ambos;2017;20673;647.42;818.61;3193155
AL;Alagoas;Ambos;2018;19411;606.57;749.86;3200128
AL;Alagoas;Ambos;2019;20287;632.25;769.19;3208704
AL;Alagoas;Ambos;2020;24148;751.15;897.61;3214823
AL;Alagoas;Ambos;2021;25090;779.72;911.6;3217819
AL;Alagoas;Ambos;2022;23122;718.44;825.31;3218381
AL;Alagoas;Ambos;2023;21965;682.44;762.15;3218607
AL;Alagoas;Ambos;2024;22653;703.49;766.31;3220104
AL;Alagoas;Ambos;2025;22418;696.03;739.46;3220848
AL;Alagoas;Homens;2000;8222;585.04;917.12;1405374
AL;Alagoas;Homens;2001;8796;618.21;971.56;1422809
AL;Alagoas;Homens;2002;9074;630.73;996.02;1438650
AL;Alagoas;Homens;2003;8886;611.52;966.03;1453107
AL;Alagoas;Homens;2004;8929;608.87;971.08;1466477
AL;Alagoas;Homens;2005;8701;588.38;921.3;1478803
AL;Alagoas;Homens;2006;9132;613.02;938.94;1489678
AL;Alagoas;Homens;2007;9874;658.85;991.57;1498669
AL;Alagoas;Homens;2008;9803;650.54;971.11;1506892
AL;Alagoas;Homens;2009;10073;665.28;985.8;1514107
AL;Alagoas;Homens;2010;10529;693.02;1009.35;1519297
AL;Alagoas;Homens;2011;11083;727.61;1046.36;1523204
AL;Alagoas;Homens;2012;10846;710.28;1019.78;1526997
AL;Alagoas;Homens;2013;11345;741.02;1036;1531000
AL;Alagoas;Homens;2014;11217;730.87;1004;1534756
AL;Alagoas;Homens;2015;11305;734.96;1014.14;1538188
AL;Alagoas;Homens;2016;11787;765.03;1036.16;1540725
AL;Alagoas;Homens;2017;11746;761.43;1016.99;1542614
AL;Alagoas;Homens;2018;10940;707.82;929.43;1545589
AL;Alagoas;Homens;2019;11083;715.22;928.43;1549603
AL;Alagoas;Homens;2020;13596;875.94;1120.08;1552161
AL;Alagoas;Homens;2021;13843;891.42;1116.23;1552917
AL;Alagoas;Homens;2022;12736;820.32;1013.01;1552564
AL;Alagoas;Homens;2023;12134;781.73;936.06;1552204
AL;Alagoas;Homens;2024;12564;809.25;945.87;1552545
AL;Alagoas;Homens;2025;12530;807.09;924.89;1552492
AL;Alagoas;Mulheres;2000;6111;413.66;623.44;1477287
AL;Alagoas;Mulheres;2001;6617;442.37;668.26;1495801
AL;Alagoas;Mulheres;2002;6782;448.3;680.74;1512833
AL;Alagoas;Mulheres;2003;6355;415.73;626.26;1528634
AL;Alagoas;Mulheres;2004;6793;440.12;666.25;1543435
AL;Alagoas;Mulheres;2005;6606;424.18;630.43;1557349
AL;Alagoas;Mulheres;2006;6285;400.19;590.78;1570489
AL;Alagoas;Mulheres;2007;6716;424.44;613.47;1582335
AL;Alagoas;Mulheres;2008;6593;413.68;590.85;1593738
AL;Alagoas;Mulheres;2009;6975;434.81;610.27;1604167
AL;Alagoas;Mulheres;2010;7198;446.44;616.27;1612328
AL;Alagoas;Mulheres;2011;7552;466.47;635.97;1618965
AL;Alagoas;Mulheres;2012;7517;462.49;616.15;1625320
AL;Alagoas;Mulheres;2013;7883;483.12;632.24;1631669
AL;Alagoas;Mulheres;2014;7833;478.31;611.73;1637625
AL;Alagoas;Mulheres;2015;8439;513.64;647.69;1642990
AL;Alagoas;Mulheres;2016;8963;544.14;670.82;1647181
AL;Alagoas;Mulheres;2017;8916;540.19;649.74;1650541
AL;Alagoas;Mulheres;2018;8460;511.32;597.67;1654539
AL;Alagoas;Mulheres;2019;9198;554.4;634.18;1659101
AL;Alagoas;Mulheres;2020;10545;634.22;711.11;1662662
AL;Alagoas;Mulheres;2021;11241;675.17;739.07;1664902
AL;Alagoas;Mulheres;2022;10378;623;667.04;1665817
AL;Alagoas;Mulheres;2023;9824;589.53;614.19;1666403
AL;Alagoas;Mulheres;2024;10085;604.78;612.9;1667559
AL;Alagoas;Mulheres;2025;9882;592.32;582.86;1668356
AM;Amazonas;Ambos;2000;10464;367.07;651.81;2850718
AM;Amazonas;Ambos;2001;10504;359.56;654.48;2921349
AM;Amazonas;Ambos;2002;10623;355.19;646.7;2990832
AM;Amazonas;Ambos;2003;10594;346.23;635.35;3059850
AM;Amazonas;Ambos;2004;10896;348.22;653.33;3129049
AM;Amazonas;Ambos;2005;11132;347.99;651.6;3198932
AM;Amazonas;Ambos;2006;11594;354.53;658.24;3270286
AM;Amazonas;Ambos;2007;11757;351.78;651.34;3342171
AM;Amazonas;Ambos;2008;12715;372.41;691.77;3414261
AM;Amazonas;Ambos;2009;12992;372.75;676.9;3485454
AM;Amazonas;Ambos;2010;13300;374.52;674.62;3551196
AM;Amazonas;Ambos;2011;14227;393.89;705.37;3611905
AM;Amazonas;Ambos;2012;14847;404.2;711.98;3673149
AM;Amazonas;Ambos;2013;15129;405.03;698.42;3735289
AM;Amazonas;Ambos;2014;15879;418.08;710.59;3798063
AM;Amazonas;Ambos;2015;16675;432.09;725.6;3859110
AM;Amazonas;Ambos;2016;16799;429.14;708.43;3914566
AM;Amazonas;Ambos;2017;17281;435.69;706.58;3966332
AM;Amazonas;Ambos;2018;17710;440.71;706.15;4018483
AM;Amazonas;Ambos;2019;18327;449.93;704.1;4073280
AM;Amazonas;Ambos;2020;24765;600.91;976.23;4121226
AM;Amazonas;Ambos;2021;29080;699.04;1099.06;4160013
AM;Amazonas;Ambos;2022;20155;479.9;731.27;4199791
AM;Amazonas;Ambos;2023;20385;480.71;711.44;4240571
AM;Amazonas;Ambos;2024;20225;472.41;686.12;4281209
AM;Amazonas;Ambos;2025;20163;466.56;663.66;4321616
AM;Amazonas;Homens;2000;6248;436.3;784.79;1432027
AM;Amazonas;Homens;2001;6247;425.79;774.28;1467148
AM;Amazonas;Homens;2002;6391;425.56;775.26;1501781
AM;Amazonas;Homens;2003;6401;416.66;772.36;1536263
AM;Amazonas;Homens;2004;6626;421.8;800.04;1570881
AM;Amazonas;Homens;2005;6692;416.71;783.38;1605924
AM;Amazonas;Homens;2006;6967;424.37;795.54;1641709
AM;Amazonas;Homens;2007;6973;415.59;777.28;1677843
AM;Amazonas;Homens;2008;7607;443.79;834.01;1714095
AM;Amazonas;Homens;2009;7754;443.13;810.48;1749815
AM;Amazonas;Homens;2010;8061;452.12;822.08;1782934
AM;Amazonas;Homens;2011;8681;478.62;857.67;1813773
AM;Amazonas;Homens;2012;8911;482.99;855.71;1844972
AM;Amazonas;Homens;2013;9220;491.3;860.32;1876658
AM;Amazonas;Homens;2014;9664;506.33;875.16;1908644
AM;Amazonas;Homens;2015;10155;523.53;890.11;1939723
AM;Amazonas;Homens;2016;10237;520.2;867.64;1967900
AM;Amazonas;Homens;2017;10440;523.5;858.68;1994266
AM;Amazonas;Homens;2018;10666;527.74;859.34;2021069
AM;Amazonas;Homens;2019;11171;545.16;869.91;2049128
AM;Amazonas;Homens;2020;15117;729.27;1235.56;2072885
AM;Amazonas;Homens;2021;17095;817.37;1327.2;2091465
AM;Amazonas;Homens;2022;12177;576.82;905.39;2111046
AM;Amazonas;Homens;2023;12234;573.94;872.32;2131568
AM;Amazonas;Homens;2024;11934;554.55;828.1;2152004
AM;Amazonas;Homens;2025;11698;538.51;793.94;2172273
AM;Amazonas;Mulheres;2000;4158;293.09;519.63;1418691
AM;Amazonas;Mulheres;2001;4236;291.29;536.37;1454201
AM;Amazonas;Mulheres;2002;4217;283.2;520.31;1489051
AM;Amazonas;Mulheres;2003;4186;274.75;502.31;1523587
AM;Amazonas;Mulheres;2004;4265;273.72;512.4;1558168
AM;Amazonas;Mulheres;2005;4429;278.03;524.14;1593008
AM;Amazonas;Mulheres;2006;4615;283.38;528.09;1628577
AM;Amazonas;Mulheres;2007;4771;286.66;530.57;1664328
AM;Amazonas;Mulheres;2008;5101;300.03;555.85;1700166
AM;Amazonas;Mulheres;2009;5229;301.27;547.76;1735639
AM;Amazonas;Mulheres;2010;5229;295.71;534.53;1768262
AM;Amazonas;Mulheres;2011;5536;307.88;560.72;1798132
AM;Amazonas;Mulheres;2012;5922;323.93;574.69;1828177
AM;Amazonas;Mulheres;2013;5901;317.49;546.55;1858631
AM;Amazonas;Mulheres;2014;6202;328.25;556.04;1889419
AM;Amazonas;Mulheres;2015;6497;338.49;570.78;1919387
AM;Amazonas;Mulheres;2016;6550;336.47;557.92;1946666
AM;Amazonas;Mulheres;2017;6833;346.49;562.9;1972066
AM;Amazonas;Mulheres;2018;7041;352.51;562.28;1997414
AM;Amazonas;Mulheres;2019;7146;353.04;548.77;2024152
AM;Amazonas;Mulheres;2020;9644;470.82;741.29;2048341
AM;Amazonas;Mulheres;2021;11976;578.96;888.7;2068548
AM;Amazonas;Mulheres;2022;7971;381.62;571.15;2088745
AM;Amazonas;Mulheres;2023;8144;386.15;560.81;2109003
AM;Amazonas;Mulheres;2024;8287;389.21;552.31;2129205
AM;Amazonas;Mulheres;2025;8459;393.56;541.88;2149343
AP;Amapá;Ambos;2000;1686;336.55;610.34;500966
AP;Amapá;Ambos;2001;1961;375.19;720.17;522673
AP;Amapá;Ambos;2002;1982;364.54;686.92;543703
AP;Amapá;Ambos;2003;1895;335.93;641.37;564107
AP;Amapá;Ambos;2004;1949;333.75;654.79;583964
AP;Amapá;Ambos;2005;1765;292.57;552.91;603274
AP;Amapá;Ambos;2006;1803;290.14;528.7;621428
AP;Amapá;Ambos;2007;1886;295.22;554.8;638841
AP;Amapá;Ambos;2008;2113;322.24;599.3;655719
AP;Amapá;Ambos;2009;2140;318.28;597.23;672357
AP;Amapá;Ambos;2010;2172;316.16;571.7;686987
AP;Amapá;Ambos;2011;2495;356.55;671.61;699770
AP;Amapá;Ambos;2012;2601;365.4;679.9;711828
AP;Amapá;Ambos;2013;2680;370.25;662.11;723831
AP;Amapá;Ambos;2014;2852;387.56;699.78;735883
AP;Amapá;Ambos;2015;2946;394.35;707.52;747050
AP;Amapá;Ambos;2016;2995;395.67;672.64;756948
AP;Amapá;Ambos;2017;3158;412.51;697.61;765558
AP;Amapá;Ambos;2018;3345;432.85;719.18;772784
AP;Amapá;Ambos;2019;3524;452.1;744.18;779468
AP;Amapá;Ambos;2020;4617;587.75;984.2;785533
AP;Amapá;Ambos;2021;4750;600.6;955.02;790871
AP;Amapá;Ambos;2022;3846;483.5;766.9;795457
AP;Amapá;Ambos;2023;3926;491.29;744.05;799124
AP;Amapá;Ambos;2024;3903;486.15;733.59;802837
AP;Amapá;Ambos;2025;3945;489.14;722.95;806517
AP;Amapá;Homens;2000;1093;434.43;778.21;251595
AP;Amapá;Homens;2001;1219;464.71;877.53;262312
AP;Amapá;Homens;2002;1280;469.4;883.88;272689
AP;Amapá;Homens;2003;1184;418.71;794.17;282776
AP;Amapá;Homens;2004;1241;424.1;820.54;292621
AP;Amapá;Homens;2005;1139;376.87;722.23;302224
AP;Amapá;Homens;2006;1119;359.48;663.37;311281
AP;Amapá;Homens;2007;1196;373.77;710.35;319985
AP;Amapá;Homens;2008;1319;401.62;752.8;328419
AP;Amapá;Homens;2009;1386;411.63;802.06;336709
AP;Amapá;Homens;2010;1362;395.88;700.7;344043
AP;Amapá;Homens;2011;1537;438.54;832.75;350480
AP;Amapá;Homens;2012;1639;459.67;859.35;356563
AP;Amapá;Homens;2013;1694;467.13;836.58;362638
AP;Amapá;Homens;2014;1745;473.22;851.34;368748
AP;Amapá;Homens;2015;1847;493.33;892.13;374397
AP;Amapá;Homens;2016;1922;506.63;866.98;379373
AP;Amapá;Homens;2017;1963;511.62;867.38;383681
AP;Amapá;Homens;2018;2098;541.69;911.36;387308
AP;Amapá;Homens;2019;2128;544.72;891.53;390662
AP;Amapá;Homens;2020;2895;735.56;1266.65;393577
AP;Amapá;Homens;2021;2890;729.71;1172.92;396049
AP;Amapá;Homens;2022;2293;575.81;933.18;398224
AP;Amapá;Homens;2023;2527;631.88;957.6;399919
AP;Amapá;Homens;2024;2376;591.66;912.24;401582
AP;Amapá;Homens;2025;2415;598.9;903.17;403239
AP;Amapá;Mulheres;2000;591;237;443.65;249371
AP;Amapá;Mulheres;2001;742;284.99;563;260361
AP;Amapá;Mulheres;2002;702;259.03;494.34;271014
AP;Amapá;Mulheres;2003;711;252.73;492.56;281331
AP;Amapá;Mulheres;2004;707;242.67;494.16;291343
AP;Amapá;Mulheres;2005;626;207.94;395.18;301050
AP;Amapá;Mulheres;2006;684;220.54;404.99;310147
AP;Amapá;Mulheres;2007;689;216.09;411;318856
AP;Amapá;Mulheres;2008;793;242.29;453.11;327300
AP;Amapá;Mulheres;2009;750;223.45;408.29;335648
AP;Amapá;Mulheres;2010;810;236.19;446.99;342944
AP;Amapá;Mulheres;2011;956;273.7;519.16;349290
AP;Amapá;Mulheres;2012;962;270.78;513.09;355265
AP;Amapá;Mulheres;2013;985;272.71;500.01;361193
AP;Amapá;Mulheres;2014;1106;301.25;554.95;367135
AP;Amapá;Mulheres;2015;1099;294.91;533.77;372653
AP;Amapá;Mulheres;2016;1072;283.92;490.37;377575
AP;Amapá;Mulheres;2017;1193;312.4;539.43;381877
AP;Amapá;Mulheres;2018;1246;323.24;541.44;385476
AP;Amapá;Mulheres;2019;1395;358.79;600.62;388806
AP;Amapá;Mulheres;2020;1722;439.34;723.38;391956
AP;Amapá;Mulheres;2021;1859;470.85;752.44;394822
AP;Amapá;Mulheres;2022;1551;390.45;613.57;397233
AP;Amapá;Mulheres;2023;1397;349.95;544.11;399205
AP;Amapá;Mulheres;2024;1525;380.06;568.86;401255
AP;Amapá;Mulheres;2025;1530;379.39;554.81;403278
BA;Bahia;Ambos;2000;59654;451.22;639.04;13220667
BA;Bahia;Ambos;2001;61025;457.46;644.71;13339902
BA;Bahia;Ambos;2002;63422;471.43;659.11;13453049
BA;Bahia;Ambos;2003;64103;472.7;653.13;13561082
BA;Bahia;Ambos;2004;64791;474.12;649.08;13665384
BA;Bahia;Ambos;2005;64687;469.89;634.77;13766504
BA;Bahia;Ambos;2006;67533;487.21;647.4;13861288
BA;Bahia;Ambos;2007;67588;484.5;632.25;13950172
BA;Bahia;Ambos;2008;71013;505.89;648.09;14037211
BA;Bahia;Ambos;2009;73492;520.42;653.34;14121771
BA;Bahia;Ambos;2010;76337;538.06;665.42;14187523
BA;Bahia;Ambos;2011;78046;548.17;667.71;14237459
BA;Bahia;Ambos;2012;80311;561.9;670.31;14292856
BA;Bahia;Ambos;2013;81423;567.37;667.24;14351030
BA;Bahia;Ambos;2014;83630;580.38;670.49;14409611
BA;Bahia;Ambos;2015;87083;601.8;682.78;14470447
BA;Bahia;Ambos;2016;88094;606.41;673.67;14527076
BA;Bahia;Ambos;2017;90915;623.62;679.98;14578692
BA;Bahia;Ambos;2018;90134;615.98;658.03;14632652
BA;Bahia;Ambos;2019;93365;635.43;665.98;14693250
BA;Bahia;Ambos;2020;107194;726.81;749.62;14748551
BA;Bahia;Ambos;2021;115392;780.29;791.89;14788270
BA;Bahia;Ambos;2022;107641;726.75;723.12;14811339
BA;Bahia;Ambos;2023;103081;695.14;679.01;14828806
BA;Bahia;Ambos;2024;106212;715.21;683.3;14850513
BA;Bahia;Ambos;2025;104650;703.72;656.44;14870907
BA;Bahia;Homens;2000;33742;519.33;767.4;6497179
BA;Bahia;Homens;2001;34899;532.36;782.32;6555478
BA;Bahia;Homens;2002;36234;548.14;799.79;6610386
BA;Bahia;Homens;2003;36672;550.44;793.57;6662326
BA;Bahia;Homens;2004;37124;553.1;791.95;6712012
BA;Bahia;Homens;2005;36784;544.17;768.51;6759600
BA;Bahia;Homens;2006;38840;570.92;795.86;6803048
BA;Bahia;Homens;2007;39099;571.4;778.73;6842657
BA;Bahia;Homens;2008;41487;602.96;807.16;6880569
BA;Bahia;Homens;2009;42972;621.27;813.4;6916819
BA;Bahia;Homens;2010;44793;645.03;836.11;6944371
BA;Bahia;Homens;2011;45299;650.38;833.05;6964974
BA;Bahia;Homens;2012;46740;668.79;838.54;6988731
BA;Bahia;Homens;2013;47373;675.4;840.17;7014082
BA;Bahia;Homens;2014;49033;696.53;852.08;7039642
BA;Bahia;Homens;2015;50010;707.71;854.16;7066440
BA;Bahia;Homens;2016;51674;728.74;861.19;7090874
BA;Bahia;Homens;2017;52820;742.61;865.18;7112763
BA;Bahia;Homens;2018;51994;728.58;833.45;7136321
BA;Bahia;Homens;2019;53629;748.69;845.13;7163009
BA;Bahia;Homens;2020;62168;865.12;964.83;7186079
BA;Bahia;Homens;2021;65866;914.73;1002.82;7200570
BA;Bahia;Homens;2022;61017;846.64;915.63;7206959
BA;Bahia;Homens;2023;58475;810.87;859.53;7211431
BA;Bahia;Homens;2024;60379;836.47;869.54;7218317
BA;Bahia;Homens;2025;59400;822.2;836.8;7224519
BA;Bahia;Mulheres;2000;25775;383.36;522.08;6723488
BA;Bahia;Mulheres;2001;25954;382.55;519.78;6784424
BA;Bahia;Mulheres;2002;27091;395.91;532.44;6842663
BA;Bahia;Mulheres;2003;27363;396.64;527.69;6898756
BA;Bahia;Mulheres;2004;27569;396.48;521.24;6953372
BA;Bahia;Mulheres;2005;27833;397.22;515.07;7006904
BA;Bahia;Mulheres;2006;28644;405.82;516.17;7058240
BA;Bahia;Mulheres;2007;28412;399.75;501.47;7107515
BA;Bahia;Mulheres;2008;29459;411.63;506.84;7156642
BA;Bahia;Mulheres;2009;30448;422.6;510.92;7204952
